Variable,Media,Mediana,Desv. Estándar,Varianza,Coef. Variación,Asimetría,Curtosis,Mínimo,Máximo,Rango
SOLAR,713.8366971212497,322.97525050000013,882.4241262870554,778672.3386534732,1.2361708635121766,1.5151543065182014,1.0848075279137182,33.297270000000005,3089.282217099997,3055.984947099997
EOLICA,16.259999999999998,9.95,16.829040602331933,283.2166075949367,1.0349963470068841,0.15388660004152413,-1.8456576088309231,0.0,41.0,41.0
PCH,9.277546812499999,11.215945,8.140930963553132,66.27475695333813,0.8774874574154171,0.016911429284233837,-1.8259693861474404,0.7,20.615945,19.915945
