"Category";"SOLAR";"EOLICA";"PCH"
"2019-10-22";48,352110000000074;0;0,7
"2019-10-23";48,366910000000075;0;0,7
"2019-10-24";48,38329000000007;0;0,7
"2019-10-25";48,413450000000076;0;0,7
"2019-10-28";48,42953000000008;0;0,7
"2019-10-29";48,46381000000008;0;0,7
"2019-10-30";48,46605000000008;0;0,7
"2019-10-31";48,489050000000084;0;0,7
"2019-11-01";48,489590000000085;0;0,7
"2019-11-02";48,49094000000009;0;0,7
"2019-11-05";48,49141000000009;0;0,7
"2019-11-06";48,49721000000009;0;0,7
"2019-11-07";48,498570000000086;0;0,7
"2019-11-08";48,53907000000009;0;0,7
"2019-11-12";48,56887500000009;0;0,7
"2019-11-13";48,57037500000009;0;0,7
"2019-11-14";48,58037500000009;0;0,7
"2019-11-15";48,625875000000086;0;0,7
"2019-11-16";48,635875000000084;0;0,7
"2019-11-18";48,65341500000008;0;0,7
"2019-11-21";48,66501500000008;0;0,7
"2019-11-22";48,67626500000008;0;0,7
"2019-11-25";48,67762500000008;0;0,7
"2019-11-26";48,67948500000008;0;0,7
"2019-11-27";48,687085000000074;0;0,7
"2019-11-28";48,698145000000075;0;0,7
"2019-11-29";48,744525000000074;0;0,7
"2019-12-01";48,75152500000007;0;0,7
"2019-12-02";48,77202500000007;0;0,7
"2019-12-03";48,78490500000007;0;0,7
"2019-12-04";48,79980500000007;0;0,7
"2019-12-05";48,84024500000007;0;0,7
"2019-12-06";48,87479500000007;0;0,7
"2019-12-09";48,89480500000007;0;0,7
"2019-12-10";48,90844500000007;0;0,7
"2019-12-11";48,95296500000007;0;0,7
"2019-12-12";48,95796500000007;0;0,7
"2019-12-14";48,96246500000007;0;0,7
"2019-12-16";49,00458500000007;0;0,7
"2019-12-17";49,02063500000007;0;0,7
"2019-12-19";49,03890000000007;0;0,7
"2019-12-20";49,08348000000007;0;0,7
"2019-12-21";49,08527000000007;0;0,7
"2019-12-23";49,212070000000075;0;0,7
"2019-12-24";49,21707000000008;0;0,7
"2019-12-30";49,22513000000008;0;0,7
"2019-12-31";49,22713000000008;0;0,7
"2020-01-02";49,244130000000084;0;0,7
"2020-01-03";49,27913000000008;0;0,7
"2020-01-05";49,31513000000008;0;0,7
"2020-01-07";49,32693000000008;0;0,7
"2020-01-08";49,346930000000086;0;0,7
"2020-01-10";49,38365000000009;0;0,7
"2020-01-13";49,479650000000085;0;0,7
"2020-01-14";49,49645000000009;0;0,7
"2020-01-15";49,49752000000009;0;0,7
"2020-01-16";49,537520000000086;0;0,7
"2020-01-17";49,675320000000085;0;0,7
"2020-01-20";49,68043000000009;0;0,7
"2020-01-21";51,45043000000009;0;0,7
"2020-01-22";51,64303000000009;0;0,7
"2020-01-23";51,645750000000085;0;0,7
"2020-01-24";51,65293000000008;0;0,7
"2020-01-27";51,665720000000086;0;0,7
"2020-01-28";51,80430000000008;0;0,7
"2020-01-29";51,829240000000084;0;0,7
"2020-01-30";51,915160000000085;0;0,7
"2020-01-31";52,01311000000008;0;0,7
"2020-02-03";52,020390000000084;0;0,7
"2020-02-05";52,033290000000086;0;0,7
"2020-02-06";52,08123000000008;0;0,7
"2020-02-07";52,13369000000009;0;0,7
"2020-02-08";52,16369000000009;0;0,7
"2020-02-09";52,16396000000009;0;0,7
"2020-02-10";52,23421000000009;0;0,7
"2020-02-11";52,253160000000086;0;0,7
"2020-02-12";52,285680000000085;0;0,7
"2020-02-13";52,323420000000084;0;0,7
"2020-02-14";52,34022000000009;0;0,7
"2020-02-16";52,35522000000009;0;0,7
"2020-02-17";52,359020000000086;0;0,7
"2020-02-18";52,820020000000085;0;0,7
"2020-02-20";52,858500000000085;0;0,7
"2020-02-21";52,89254000000008;0;0,7
"2020-02-22";52,952540000000084;0;0,7
"2020-02-25";52,96254000000008;0;0,7
"2020-02-26";53,007340000000085;0;0,7
"2020-02-27";53,036550000000084;0;0,7
"2020-02-28";53,07095000000008;0;0,7
"2020-03-02";53,10195000000008;0;0,7
"2020-03-03";53,13208000000008;0;0,7
"2020-03-05";53,17566000000008;0;0,7
"2020-03-06";53,18346000000008;0;0,7
"2020-03-09";53,21746000000008;0;0,7
"2020-03-10";53,94414000000008;0;0,7
"2020-03-11";54,08930000000008;0;0,7
"2020-03-12";54,10010000000008;0;0,7
"2020-03-13";56,99650000000008;0;0,7
"2020-03-14";57,016900000000085;0;0,7
"2020-03-17";57,03397000000008;0;0,7
"2020-03-18";57,55208000000008;0;0,7
